dd_half_stop,dd_cash_stop,recover_above,recovery_periods,val_ok,selection_score,val_cumret,val_sharpe,val_mdd,val_turnover,test_cumret,test_sharpe,test_mdd,test_turnover,all_cumret,all_sharpe,all_mdd,all_turnover
-0.15,-0.18,-0.12,1,False,-2.6432693227098447,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.18901140936025396,-0.3066781768014868,-0.18901140936025396,0.00625
-0.15,-0.18,-0.12,2,False,-2.6432693227098447,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.18901140936025396,-0.3066781768014868,-0.18901140936025396,0.00625
-0.15,-0.2,-0.08,1,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.2,-0.08,2,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.2,-0.1,1,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.2,-0.1,2,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.2,-0.12,1,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.2,-0.12,2,False,-2.81318819730211,-0.17100481051931415,-0.710281479473625,-0.20456368275609715,0.23267326732673269,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,-0.21506982335526414,-0.3499893086082573,-0.21506982335526414,0.006875
-0.15,-0.22,-0.08,1,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
-0.15,-0.22,-0.08,2,False,-0.22338712137182576,0.27828892505298564,0.7335902561632927,-0.21014635458422903,0.6435643564356436,0.4299048758200683,1.0177097378685764,-0.17319178055620676,0.588495575221239,6.117762794413786,0.8406653345484588,-0.22362207096826048,0.425625
