date,selected_stocks,n_holdings,gross_return,net_return,turnover,equity,drawdown,exposure,risk_flag,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2014-12-18,AMZN|JNJ,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2014-12-26,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,3
2015-01-05,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,8
2015-01-12,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,8
2015-01-20,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2015-01-27,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,5
2015-02-03,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2015-02-10,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,4
2015-02-18,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,4
2015-02-25,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,6
2015-03-04,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2015-03-11,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2015-03-18,META,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2015-03-25,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,8
2015-04-01,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2015-04-09,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,1
2015-04-16,AMZN|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2015-04-23,AMZN|JPM,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2015-04-30,JNJ|JPM,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2015-05-07,AMZN|JNJ,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2015-05-14,AMZN|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,6
2015-05-21,AAPL|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2015-05-29,AAPL|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2015-06-05,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2015-06-12,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,4
2015-06-19,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,3
2015-06-26,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2015-07-06,AMZN|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,8
2015-07-13,AMZN|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2015-07-20,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2015-07-27,MSFT|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,7
2015-08-03,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2015-08-10,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2015-08-17,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,4
2015-08-24,META|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,8
2015-08-31,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2015-09-08,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,4
2015-09-15,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,7
2015-09-22,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,8
2015-09-29,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,8
2015-10-06,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,3
2015-10-13,META|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2015-10-20,JNJ|META,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2015-10-27,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2015-11-03,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,2
2015-11-10,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,3
2015-11-17,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,6
2015-11-24,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,0
