bootstrap_id,diff_cumret_sticky_minus_static,diff_annret_sticky_minus_static,diff_sharpe_sticky_minus_static,diff_mdd_sticky_minus_static
119,0.3293642202828164,0.1259844122522007,0.4975731963097998,0.043926025192709384
120,-0.0078834995436452,-0.0028398146785062472,0.013754954870603298,0.084592234094933
121,-0.04735625068451388,-0.025808451426615475,-0.12923660170800055,-0.10537177480022619
122,-0.6256124629638466,-0.2204436521203168,-0.9178453771495821,0.030260808192207667
123,-0.6871345000409519,-0.19773090396985427,-0.7436560081585484,-0.024170219872154286
124,0.44530706379943985,0.12785593390806071,0.4883673187232469,0.0537050163244841
125,0.04525238987120672,0.01776073611793283,0.06183906747441198,0.05371659538776574
126,-0.3291644308226471,-0.13104527273855515,-0.5018296666470471,-0.05179293996321155
127,-1.0679126319687582,-0.35426990019561777,-1.6914500019580354,-0.03680134556415182
128,-0.6306996455464153,-0.2012843552734993,-0.9079666781768776,0.061533225672079084
129,0.02486661939296586,0.010818683918169647,0.04163287799764065,-0.0044500179011435215
130,-0.2560968469781626,-0.09399930394419087,-0.4134568442019493,0.0014409850837203697
131,-0.18812326323024675,-0.07086467717529987,-0.2525569461394759,-0.014410090092638828
132,-0.7739081259981295,-0.24135227452932861,-1.0175595731221532,-0.042778246142959
133,-0.13912746966664546,-0.06106401619889945,-0.2998139822043203,0.01045662925737778
134,-0.09860754154537332,-0.03468883880092544,-0.15837066957521218,0.0021750303071222943
135,-0.21387907158907704,-0.06706685770678678,-0.19214651672012617,-0.03483521494042319
136,-0.3886238625556102,-0.15504211989138117,-0.6279268820939597,-0.025762178859058738
137,-0.40551130365449306,-0.15403664693144714,-0.5550040532461975,-0.004565266898300946
138,-0.6542297102810524,-0.24995814126258198,-1.04809645894958,-0.010452275572876868
139,-0.40136586367079374,-0.1137267872150538,-0.5555998739115593,0.016990002477632604
140,-0.47330417246373946,-0.12386196666090266,-0.4383179243578277,0.04342836233829972
141,-0.3189033651710036,-0.12977522977370315,-0.6085564861123589,-0.05846288294065549
142,-0.1415640822573654,-0.05794764080969439,-0.22116649435264157,-0.021212295313923213
143,-0.35721780539932824,-0.13325480990182892,-0.5466563254638136,-0.05731771013027742
144,-0.31294482313789374,-0.13048942654073292,-0.5291822339448266,-0.024578116259087124
145,-0.6470000160767684,-0.24350479835465966,-1.0139566322634028,-0.1631987521588686
146,-0.2400786615162589,-0.09297284343406664,-0.39617564863333327,-0.005937209045412062
147,-0.5839301835515229,-0.17963294622076642,-0.6795722550921359,0.0714892810902642
148,-0.17351658817498117,-0.065770061512747,-0.2659490967941027,0.002290273625355055
149,-0.6752887866303938,-0.17370232109284767,-0.48309180253011164,0.027623150610570302
150,-0.30270088063856004,-0.10852701925382902,-0.3596646827995046,-0.021402649216460956
151,-0.5119703300702125,-0.1588347821928784,-0.5487598702296994,-0.03325805540038751
152,-0.8288565136353288,-0.3032412348386637,-1.2830593060004227,-0.08029634762403737
153,-0.17215708131420593,-0.07051546308992407,-0.2855758740549751,-0.06116062484761642
154,0.015206508819055387,0.005490650967232336,0.04502973700483981,0.004812026203592112
155,-0.2504146068983255,-0.08387356139884172,-0.3341620050407037,-0.010260473233083434
156,-0.29031162526955234,-0.10912185012123699,-0.47430737544150187,0.02454874302991228
157,-0.8465536467105594,-0.26505307083119045,-1.3014239282856774,-0.02847951733592058
158,-0.402048934349579,-0.1357797104979881,-0.7072559027878762,0.028460775099890312
159,-0.6155609145596104,-0.20760927609493462,-0.7972371428340527,-0.0907642910946429
160,-0.6250073364302227,-0.2065950477294909,-0.8690734293654336,-0.09564892978457462
161,-0.29283049594007515,-0.107723637233067,-0.40445163062196543,-0.036040361153075406
162,-0.2305430903488832,-0.08232016260708885,-0.33719007851089755,-0.025603797231561254
163,-0.8283440562863766,-0.2719014943916467,-1.4238701752691476,-0.049608382581183275
164,-0.13160865542719913,-0.052763549056629167,-0.2585795239808396,0.009476645345419143
165,0.28218215356836307,0.10525459920237035,0.4475062524150143,0.029254598073475968
166,0.08571638110779611,0.029891190569150572,0.04858003492557228,0.04905587280925483
167,-0.21977833877361896,-0.0858576639979125,-0.4113879843030838,-0.025720389582950753
168,-0.22591759000155176,-0.0920675160326645,-0.40103656346996563,-0.11952947619594356
169,-0.2588637311683122,-0.09790015195623791,-0.33391517175507685,0.10753859668175192
170,-0.4077537913790341,-0.1683144059896271,-0.7543344594911484,-0.05047333276705823
171,-0.3499877108968561,-0.10558713854652657,-0.33291986007849195,0.03902084301607811
172,0.1109232536612148,0.03192587779827227,0.05881482567878682,0.033930939394234194
173,0.02499994016911522,0.009914959392910871,0.03723985319319423,0.06350183717177027
174,-0.38521842626271274,-0.14278079797356735,-0.47449624631345316,0.03379255585049867
175,-0.23252681433731892,-0.10992946964943895,-0.4747726497304728,-0.05484037193972302
176,-0.5177061813032183,-0.20303633585099745,-0.8645784496596439,-0.014729753286514491
177,-0.48325434613643514,-0.1791498997840577,-0.736768748889876,-0.007285392672643609
178,-0.09890480666112733,-0.037668788514788165,-0.1634593429710801,-0.10687216943668287
179,-0.02872694155347766,-0.010432303725229408,-0.11127967638997538,0.08510367085888981
180,-0.019388518221047812,-0.007172409729378826,-0.09953826018760414,-0.09010264295526027
181,-0.3492047092764221,-0.11554164494982833,-0.46401588794767923,-0.009583320212088298
182,-0.31758274104741946,-0.12405225374602913,-0.5429934391861736,-0.0020592332551928605
183,-0.49035199586426015,-0.16958892378374024,-0.6274993696863084,-0.0013031350549760345
184,0.4120488901148005,0.14392749605180244,0.5532131761036346,0.05119386430881201
185,-0.35739162484219944,-0.17728218584735622,-0.8165581367690353,-0.15052109703600347
186,-0.11417855437702173,-0.04453545660293301,-0.20197082938499356,0.004465726288648719
187,-0.2916233555097443,-0.12483343501505861,-0.5797397684510218,0.006627410785175147
188,-0.2335505961649862,-0.09105630542610599,-0.40802240877021656,0.002419858193481783
189,0.10537832493686006,0.03043617213114369,0.05693406473804541,0.0903904495649207
190,-0.7306713680396185,-0.2783514782265165,-1.1253144918003823,-0.06917032413623858
191,-0.11279221774182635,-0.04068141576635864,-0.1548255874980088,-0.0439094973803108
192,0.10434964924033285,0.04720770192991275,0.25945680318269304,0.03908195153103111
193,-0.7884662125551625,-0.2675547445998281,-1.1608068810189298,-0.11485297384533155
194,-0.04585999066936408,-0.021983241496115302,-0.1245690778569313,-0.051353385034234145
195,-0.4842928504476791,-0.17359162071313006,-0.8189857658254353,-0.06053030136708992
196,-0.12879834561666526,-0.04386707519252275,-0.15500899357442366,-0.0009206625595560292
197,-0.10085803633627743,-0.03338643797704233,-0.12614369818928095,0.11244821392986659
198,-0.27362084484244376,-0.09867836336897473,-0.352948872077929,0.030191240496091676
199,-0.5266985912718543,-0.23001961032297458,-0.9620083923182692,-0.07449188063687484
200,-0.22619280901086425,-0.08590372623355891,-0.37748802163239575,-0.04135429498064225
201,-1.0538325083173616,-0.39113825924217405,-1.6518579070313715,-0.177781261854281
