bootstrap_id,cumulative_return,annualized_return,sharpe,max_drawdown
93,1.0930972789617428,0.38618976504674407,1.7135185225988792,-0.21015502616580284
94,-0.005543913242212928,-0.002454794536959848,0.09542462395308624,-0.3757139869098336
95,0.15885605835527983,0.06735226733205901,0.41278967695925556,-0.3618940648776098
96,0.07664518561304678,0.03318826898403948,0.2588274569158325,-0.3422812853924616
97,0.5025385009652166,0.1972243257985533,0.9555387375444769,-0.2089527992613882
98,-0.40015912073824433,-0.20224676544314435,-0.8604491140891867,-0.4818670949450373
99,0.4009036720859689,0.16072107083795095,0.7949848773082964,-0.15919551906085094
100,0.14565422796521488,0.0619593442294899,0.3660394514253805,-0.2607366038489267
101,0.06743733376355077,0.02927238035719615,0.24266932102342428,-0.37421156670070066
102,0.2612308208497389,0.10805626130228041,0.550981257932421,-0.20895279926138788
103,-0.026321223028306084,-0.01172337887771735,0.07175892271707075,-0.2966407355140842
104,0.2408495055774944,0.10010392117724698,0.526715938518644,-0.2413246781507421
105,0.2260634667644683,0.0942890207792848,0.5170719673089633,-0.2563567021547112
106,0.45581634496265844,0.18062039785720385,0.9489559376972336,-0.189994015946785
107,0.8206709313123943,0.3033159115404289,1.3193471279676061,-0.1587496020222522
108,0.581108614508635,0.22450909983979583,1.0191197174496434,-0.21533587928728348
109,-0.4560417662834926,-0.2360021435669043,-0.9605493280499252,-0.6071753873782118
110,0.3229463371567549,0.13170818990041244,0.6478587323797816,-0.24649560498628487
111,0.733982898633984,0.275507359013051,1.2123956374648417,-0.14238430523380452
112,0.1472571941562597,0.0626159957634389,0.3925281276424261,-0.29298822995099094
113,-0.29721911020969505,-0.14438519478132072,-0.5052504632459555,-0.4681150665844498
114,0.03117774829934694,0.013665872204362328,0.17138823826926572,-0.23944005627732656
115,0.6610413564286357,0.25150144359262727,1.1860228638958805,-0.2742490160005093
116,0.029038001025192273,0.012735405064613348,0.16695829245409008,-0.3869591519375265
117,0.5495958500692908,0.2136587058294983,1.0675513515130197,-0.14662783318460126
118,-0.1805323290484886,-0.08426046425301004,-0.34061002756448955,-0.4292116071774633
119,1.2413385840199207,0.4287662936861141,1.9476087133166118,-0.1423843052338044
