date,selected_stocks,n_holdings,top1_stock,top1_prob,gross_return,net_return,turnover,equity,drawdown,exposure,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2016-06-23,JPM|META,2,META,0.5732958,-0.01838602151433705,-0.01838602151433705,0.0,3.4293111127357596,-0.040338091293178,1.0,2,0,1,0
2016-06-30,JPM|META,2,JPM,0.657644,0.01432926450430455,0.01432926450430455,0.0,3.478450618737701,-0.026586841968612163,1.0,2,0,0,6
2016-07-08,JPM|META,2,META,0.64574575,0.017383044715438,0.017383044715438,0.0,3.5389166813836614,-0.009665957515956891,1.0,2,0,0,6
2016-07-15,JPM|V,2,JPM,0.6200589,0.00919024784984585,0.008190247849845851,1.0,3.567901286124148,-0.001554876253872739,1.0,1,1,0,1
2016-07-22,JPM|V,2,JPM,0.6425913,-0.01218453828226435,-0.01218453828226435,0.0,3.5244280563160277,-0.013720469086897724,1.0,2,0,1,7
2016-07-29,JPM|UNH,2,UNH,0.6485837,0.017478471893927698,0.016478471893927697,1.0,3.5825052449842016,0.0,1.0,1,1,0,5
2016-08-05,UNH|V,2,V,0.60844517,-0.0011335203514905,-0.0021335203514904998,1.0,3.5748618971347064,-0.0021335203514905032,1.0,1,1,1,2
2016-08-12,META|V,2,META,0.6361656,-0.0016007267763448003,-0.0026007267763448003,1.0,3.5655646580770934,-0.004728698424329325,1.0,1,1,1,6
2016-08-19,JNJ|META,2,JNJ,0.623654,0.0019962163959922996,0.0009962163959922996,1.0,3.5691167320504404,-0.0037371928352389894,1.0,1,1,1,1
2016-08-26,JNJ|UNH,2,UNH,0.64141756,0.0011395368916349564,0.0001395368916349564,1.0,3.569614755505113,-0.00359817741987567,1.0,1,1,1,3
2016-09-02,JNJ|UNH,2,UNH,0.637763,-0.0023325719871870503,-0.0023325719871870503,0.0,3.561288372121372,-0.0059223563992083506,1.0,2,0,1,0
2016-09-12,AMZN|UNH,2,UNH,0.6043976,0.01027125692693315,0.00927125692693315,1.0,3.594305991610209,0.0,1.0,1,1,0,1
2016-09-19,AMZN|META,2,META,0.62262845,0.0103126648900052,0.0093126648900052,1.0,3.6277785588222127,0.0,1.0,1,1,1,6
2016-09-26,AAPL|META,2,AAPL,0.628122,0.00413933789790875,0.00313933789790875,1.0,3.639167381537144,0.0,1.0,1,1,1,7
2016-10-03,AAPL|JNJ,2,JNJ,0.63003707,0.0198525387675132,0.0188525387675132,1.0,3.7077749256790424,0.0,1.0,1,1,1,3
2016-10-10,JNJ|UNH,2,UNH,0.6153808,-0.0197707287596219,-0.020770728759621902,1.0,3.6307617383960356,-0.020770728759621937,1.0,1,1,1,1
2016-10-17,NVDA|UNH,2,NVDA,0.63275146,0.07823083107427539,0.07723083107427539,1.0,3.911168484885042,0.0,1.0,1,1,1,6
2016-10-24,NVDA|V,2,V,0.60049146,-0.00078567465152715,-0.00178567465152715,1.0,3.904184410463731,-0.001785674651527125,1.0,1,1,1,1
2016-10-31,META|V,2,META,0.6071852,-0.03374296187581725,-0.03474296187581725,1.0,3.768541480334829,-0.036466596901003845,1.0,1,1,1,3
2016-11-07,META|UNH,2,META,0.60890377,0.007521916267404647,0.006521916267404647,1.0,3.793119592319814,-0.030182512725144717,1.0,1,1,1,1
2016-11-14,META|UNH,2,META,0.6073645,0.0229267646798055,0.0229267646798055,0.0,3.88008355261529,-0.007947735412033974,1.0,2,0,1,1
2016-11-21,JNJ|META,2,JNJ,0.643651,-0.01465191439165265,-0.01565191439165265,1.0,3.819352817017296,-0.023475252529409962,1.0,1,1,0,7
2016-11-29,JNJ|V,2,JNJ,0.66336167,-0.014753894343392299,-0.015753894343392298,1.0,3.759183136277868,-0.038859320224769456,1.0,1,1,1,7
