fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
11,False,2010-03-31,2020-04-02,2020-04-03,2020-10-01,2020-10-02,2021-04-05,24601,1260,1260,24311,1260,1260,1,0.508004914340318,3,8.882117154948244,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.49228585079516757,0.7536970933197348,0.5364473240817327,0.7128205128205128,0.5628473702935959,3.8810985527542066,-0.060280769225633524,0.8589743589743588,0.16179024123691188,1.4892096451948793,-0.07794917566432435,0.8076923076923076,0.22311365204366518,2.124370513183906,-0.06876276668324,0.8076923076923077,0.06285008856948315,0.6008485803240536,-0.10862739468814864,0.9230769230769231
12,False,2010-03-31,2020-10-01,2020-10-02,2021-04-05,2021-04-06,2021-10-01,25861,1260,1260,25571,1260,1260,3,0.558422428494113,11,5.62937258812873,topk,3,0.58,0.5,True,topk,2,0.6,0.5,False,0.5043347731519775,0.7024749868351764,0.4911599684348432,0.7055084745762712,0.30124591626184394,2.524436992696985,-0.0819157398206205,0.9871794871794871,0.06069816066261202,0.9218332355246506,-0.07105463897698183,0.8333333333333333,0.25853452492656337,1.9240031880377233,-0.09273013252448947,1.0384615384615385,-0.00443165150743674,0.033739319877698404,-0.11571873638230767,1.0769230769230769
13,False,2010-03-31,2021-04-05,2021-04-06,2021-10-01,2021-10-04,2022-04-01,27121,1260,1260,26831,1260,1260,1,0.5260374236090006,2,4.9348340660641865,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5126018014612931,0.7162506367804381,0.527436995967742,0.6729957805907173,0.16548761463809414,2.2984311162882602,-0.05743598185454046,0.8076923076923077,0.007698432151508561,0.17934925332778306,-0.18174172951212175,0.6794871794871794,0.12807986429707507,1.5400812918831444,-0.08864702977597372,0.8461538461538461,0.10207148462366322,0.8304361825719123,-0.13501578392053748,0.9230769230769231
14,False,2010-03-31,2021-10-01,2021-10-04,2022-04-01,2022-04-04,2022-10-03,28381,1260,1260,28091,1260,1260,8,0.5211466733870967,1,5.5594647660097545,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.49881804435483873,0.6378316032295271,0.5249246166677359,0.5894357743097238,0.3826084667517329,2.429963968401097,-0.13858901258116696,1.2692307692307692,-0.16168543260495816,-0.9457251670430066,-0.19220673513724806,1.1153846153846154,0.07314575401857581,0.6176922201991684,-0.20598408524618772,1.1923076923076923,0.09551035662997265,0.8333239961969732,-0.07556675106711519,1.1538461538461537
15,False,2010-03-31,2022-04-01,2022-04-04,2022-10-03,2022-10-04,2023-04-04,29641,1260,1260,29351,1260,1260,4,0.635103611984346,4,2.083709524863463,topk,2,0.58,0.5,True,topk,2,0.6,0.5,False,0.635103611984346,0.5902612826603326,0.46622244129541074,0.5673469387755101,0.12881820019429946,0.9086486107393889,-0.10196746800208889,1.0,0.2414438857570984,1.7379660387610958,-0.05005523358730235,0.6538461538461539,-0.0011253454653624706,0.16234938078521702,-0.12589591036067138,1.0,0.1136398948508861,0.9177777244210499,-0.10218202168721613,0.34615384615384615
16,False,2010-03-31,2022-10-03,2022-10-04,2023-04-04,2023-04-05,2023-10-04,30901,1260,1260,30611,1260,1260,2,0.5206185433984273,3,7.323852609240152,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5137719327674707,0.5839017735334243,0.5221607787108512,0.4775876120619397,0.575770901806355,3.088280065063941,-0.04306016291518577,0.8846153846153846,0.08428667568432902,1.1231400927146136,-0.04716946479076278,0.8076923076923077,0.23178229624316526,2.105529692024392,-0.0010000000000000009,0.23076923076923078,0.0,0.0,0.0,0.0
17,False,2010-03-31,2023-04-04,2023-04-05,2023-10-04,2023-10-05,2024-04-05,32161,1260,1260,31871,1260,1260,1,0.5445052883676469,1,6.870779010932931,topk,3,0.54,0.5,True,topk,2,0.6,0.5,False,0.5445052883676469,0.6979051819184123,0.504838033407723,0.6542393265183404,0.3025498462770124,3.134968805835805,-0.03523305502731677,0.9358974358974357,0.14552253380537739,1.666101937835134,-0.06022721313316459,1.0512820512820513,0.2535662849914966,2.360764723515275,-0.07731596211224723,0.7692307692307693,0.07063711450959631,2.4612245851911845,-0.0010000000000000009,0.3076923076923077
18,False,2010-03-31,2023-10-04,2023-10-05,2024-04-05,2024-04-08,2024-10-04,33421,1260,1260,33131,1260,1260,6,0.5124068438493271,2,5.722622538977562,topk,2,0.56,0.5,True,topk,2,0.6,0.5,False,0.49654696693041184,0.5793382849426064,0.5448184066383257,0.6553808948004837,0.12663378083165888,2.701455271636974,-0.001000000000000112,0.38461538461538464,0.02184460898806484,0.289607102364477,-0.17897327386863104,1.1538461538461537,0.05124855304640197,1.3643734589420435,-0.0010000000000000009,0.07692307692307693,0.05458018141702681,0.745322500858268,-0.040784429419616575,0.15384615384615385
19,False,2010-03-31,2024-04-05,2024-04-08,2024-10-04,2024-10-07,2025-04-08,34681,1260,1260,34391,1260,1260,2,0.5126461330935251,7,6.6782758807795055,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.49121668574231525,0.6693046919163369,0.4956707818930041,0.6420664206642067,0.21932818542731636,3.133407669244647,-0.03410735157821154,1.0,-0.03679584166451777,-0.25610572389002767,-0.205377590127663,0.9230769230769231,0.14425204252097878,2.3042084718400218,-0.03410735157821132,1.0,-0.08607321536682488,-0.8984617924481386,-0.18070077384941674,0.5384615384615384
20,False,2010-03-31,2024-10-04,2024-10-07,2025-04-08,2025-04-09,2025-10-08,35941,1260,1260,35651,1260,1260,7,0.49622285533396643,2,2.0964881339182377,topk,3,0.58,0.5,True,topk,2,0.6,0.5,False,0.49584045584045583,0.6888519134775374,0.560876621184832,0.7236624379481522,0.12245144722923929,0.9368894858267457,-0.19218295106612548,0.9743589743589743,0.4930313973478577,4.550866825723544,-0.07513629147609246,1.205128205128205,-0.02374793225450733,-0.09195718250279536,-0.1625922705853493,0.9230769230769231,0.44012983801675043,4.871255156677934,-0.013892794984287749,0.9615384615384616
21,True,2010-03-31,2025-04-08,2025-04-09,2025-10-08,2025-10-09,2026-04-06,37201,1260,1220,36911,1260,1220,1,0.5847093546043944,1,14.751763301573023,topk,2,0.54,0.5,True,topk,2,0.6,0.5,False,0.5847093546043944,0.7110596409959468,0.5799065282417473,0.6662707838479811,0.8223421078835769,6.5669893351158475,-0.011927154784363458,1.1538461538461537,0.15724022521611425,2.0590365109630486,-0.06392693166948282,1.04,0.004621446109950966,1.1195109960713563,-0.0010000000000000009,0.07692307692307693,0.0,0.0,0.0,0.0
