fold_id,split_name_val,mode,top_k,min_prob,threshold,constraints_ok_val,periods_val,cumulative_return_val,annualized_return_val,sharpe_val,max_drawdown_val,win_rate_val,avg_turnover_val,avg_holdings_val,split_name_test,constraints_ok_test,periods_test,cumulative_return_test,annualized_return_test,sharpe_test,max_drawdown_test,win_rate_test,avg_turnover_test,avg_holdings_test
3,val,topk,4,0.56,0.5,True,26,-0.059324940177082564,-0.11179391586535459,-0.9075091138581789,-0.10871009699673673,0.15384615384615385,0.7051282051282052,1.3846153846153846,test,,26,-0.0402682376247715,-0.07658227677467011,-0.40368550474787346,-0.08388455306253206,0.2692307692307692,0.8076923076923077,0.9230769230769231
3,val,topk,4,0.58,0.5,True,26,0.027432711732530146,0.053861386305771974,0.9303061898587932,-0.012713855559973064,0.038461538461538464,0.23076923076923078,0.15384615384615385,test,,26,0.03414739439509118,0.06725329195135021,1.8249386461421293,-0.0010000000000000009,0.07692307692307693,0.15384615384615385,0.15384615384615385
4,val,topk,3,0.56,0.5,True,26,0.2911918099017725,0.641161515825825,1.5727329923725186,-0.08388455306253206,0.38461538461538464,0.7564102564102565,0.7692307692307693,test,,26,0.07646316678156273,0.1535307296591999,0.8430543467292306,-0.05644229008721324,0.15384615384615385,0.34615384615384615,0.23076923076923078
4,val,topk,3,0.58,0.5,True,26,0.5649897717765509,1.3826105930283945,2.046406831482935,-0.0821990706669824,0.3076923076923077,0.5897435897435898,0.5,test,,26,-0.06608771938971403,-0.12413032472030439,-1.6479190130592845,-0.06911203606200844,0.038461538461538464,0.23076923076923078,0.11538461538461539
4,val,topk,4,0.56,0.5,True,26,0.2918266244771466,0.6427259771023324,1.576073639783838,-0.08388455306253229,0.38461538461538464,0.7692307692307693,0.8076923076923077,test,,26,0.07646316678156273,0.1535307296591999,0.8430543467292306,-0.05644229008721324,0.15384615384615385,0.34615384615384615,0.23076923076923078
4,val,topk,4,0.58,0.5,True,26,0.5660217647706489,1.3856571539013154,2.049699342988921,-0.0821990706669824,0.3076923076923077,0.5961538461538461,0.5384615384615384,test,,26,-0.06608771938971403,-0.12413032472030439,-1.6479190130592845,-0.06911203606200844,0.038461538461538464,0.23076923076923078,0.11538461538461539
5,val,topk,3,0.56,0.5,True,26,0.17353696202038238,0.36369365908986917,1.871839826925285,-0.008313408907765885,0.15384615384615385,0.3333333333333333,0.34615384615384615,test,,26,0.0396370653892022,0.07826282434482312,0.6677065054537138,-0.05202161791573767,0.15384615384615385,0.37179487179487186,0.5
5,val,topk,3,0.58,0.5,True,26,-0.004765450184499254,-0.009216983621579189,-0.24575686085061899,-0.020849421778503574,0.07692307692307693,0.20512820512820515,0.19230769230769232,test,,26,-0.08244096348962127,-0.15361593447855648,-1.1737412101962474,-0.12339536342171886,0.07692307692307693,0.2692307692307692,0.23076923076923078
5,val,topk,4,0.56,0.5,True,26,0.1650840136749756,0.34471721235413,1.7881295952781584,-0.010906905655728605,0.15384615384615385,0.3076923076923077,0.4230769230769231,test,,26,0.05655822541622291,0.1125422314741178,0.9647144637942972,-0.041056046271576774,0.15384615384615385,0.38461538461538464,0.5769230769230769
5,val,topk,4,0.58,0.5,True,26,-0.004765450184499254,-0.009216983621579189,-0.24575686085061899,-0.020849421778503574,0.07692307692307693,0.20512820512820515,0.19230769230769232,test,,26,-0.08244096348962127,-0.15361593447855648,-1.1737412101962474,-0.12339536342171886,0.07692307692307693,0.2692307692307692,0.23076923076923078
6,val,topk,3,0.56,0.5,True,26,0.19444514578151528,0.4111842794764846,1.878974839665733,-0.07443828110831308,0.3076923076923077,0.6538461538461539,0.7307692307692307,test,,26,0.3103662816335073,0.6887340176771704,3.4909140328253745,-0.0379371135918225,0.5769230769230769,1.3461538461538463,1.6153846153846154
6,val,topk,3,0.58,0.5,True,26,0.28063850333889384,0.615259281400641,2.3488016923093165,-0.001000000000000112,0.2692307692307692,0.5384615384615384,0.38461538461538464,test,,26,0.2891346339948724,0.6360966916833515,3.4286019472313836,-0.03391745430420412,0.38461538461538464,0.8076923076923077,0.8461538461538461
6,val,topk,4,0.56,0.5,True,26,0.17854196467830907,0.37499031035823305,1.8121340993981054,-0.07673531568936487,0.2692307692307692,0.6666666666666667,0.8076923076923077,test,,26,0.2900165396151848,0.6382670396800145,3.3854600541529782,-0.0379371135918225,0.5769230769230769,1.3653846153846154,1.8846153846153846
6,val,topk,4,0.58,0.5,True,26,0.2759699936789304,0.603864458964307,2.3119417109727465,-0.0039768119719649775,0.23076923076923078,0.5384615384615384,0.4230769230769231,test,,26,0.280701641644592,0.6154136560019641,3.421337888931633,-0.03391745430420412,0.38461538461538464,0.8269230769230769,0.9615384615384616
7,val,topk,3,0.56,0.5,True,26,-0.010066454790388146,-0.019421244832644624,-0.03552169294015036,-0.09941599489744735,0.19230769230769232,0.4871794871794872,0.5,test,,26,-0.33095226442109704,-0.5411662963490315,-1.5602743149828562,-0.3646033601385291,0.19230769230769232,0.6794871794871795,0.7307692307692307
7,val,topk,3,0.58,0.5,True,26,0.04920513525882986,0.09758230726009276,0.9122301740562637,-0.04209363562990465,0.15384615384615385,0.38461538461538464,0.23076923076923078,test,,26,-0.2262042468318174,-0.39171592418598655,-0.8230059153128441,-0.3361503783514965,0.19230769230769232,0.6153846153846154,0.5
7,val,topk,4,0.56,0.5,True,26,-0.012083142066016461,-0.02328987149767847,-0.05786100764261861,-0.09978052601549914,0.15384615384615385,0.5,0.5769230769230769,test,,26,-0.32807973021280734,-0.5373398591630743,-1.5394009576735481,-0.36187530579087446,0.19230769230769232,0.6602564102564104,0.7692307692307693
7,val,topk,4,0.58,0.5,True,26,0.04920513525882986,0.09758230726009276,0.9122301740562637,-0.04209363562990465,0.15384615384615385,0.38461538461538464,0.23076923076923078,test,,26,-0.2228819804926574,-0.38664314773386477,-0.8044575890042801,-0.3361503783514965,0.19230769230769232,0.5961538461538461,0.5384615384615384
8,val,topk,3,0.56,0.5,True,26,0.1609572146158358,0.3354995294867089,2.259970460240876,-0.02094534721065955,0.23076923076923078,0.6153846153846154,0.5384615384615384,test,,26,5.3848343129159204e-05,0.0001043855795379578,0.049118054313115216,-0.053094732217707,0.2692307692307692,0.6410256410256411,1.0
8,val,topk,3,0.58,0.5,True,26,0.19207291513385139,0.40575644382471077,2.7601855819051893,-0.0010000000000000009,0.19230769230769232,0.38461538461538464,0.23076923076923078,test,,26,0.04233201169935619,0.08368755380223081,0.6152805056581819,-0.05774253169734278,0.19230769230769232,0.5512820512820513,0.5
8,val,topk,4,0.56,0.5,True,26,0.1609572146158358,0.3354995294867089,2.259970460240876,-0.02094534721065955,0.23076923076923078,0.6153846153846154,0.5384615384615384,test,,26,-0.0051645542425948765,-0.009987026151987877,-0.058769214895843525,-0.04813713213210069,0.2692307692307692,0.6730769230769231,1.1538461538461537
8,val,topk,4,0.58,0.5,True,26,0.19207291513385139,0.40575644382471077,2.7601855819051893,-0.0010000000000000009,0.19230769230769232,0.38461538461538464,0.23076923076923078,test,,26,0.04014080260462882,0.07927580891649288,0.5854934636909565,-0.059573085104887014,0.19230769230769232,0.5576923076923077,0.5384615384615384
9,val,topk,3,0.56,0.5,True,26,-0.03864291159789979,-0.07354844860069565,-0.18992533343130089,-0.11533331864052299,0.23076923076923078,0.6410256410256411,0.8461538461538461,test,,26,0.10903375507846058,0.2221477084931054,0.6902686787528709,-0.23958412383552619,0.34615384615384615,0.7435897435897435,0.8461538461538461
9,val,topk,3,0.58,0.5,True,26,0.16841835881612943,0.35218727501074976,2.178092695511649,-0.033127153365708484,0.19230769230769232,0.4230769230769231,0.4230769230769231,test,,26,-0.1726218264028342,-0.30741595039370884,-0.9924783097777643,-0.22364858588172698,0.15384615384615385,0.4871794871794872,0.5
