fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,current_fixed_mode,current_fixed_top_k,current_fixed_min_prob,current_fixed_threshold,selected_matches_current_fixed,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_val_cumulative_return,selected_val_sharpe,selected_val_max_drawdown,selected_val_avg_turnover,selected_test_cumulative_return,selected_test_sharpe,selected_test_max_drawdown,selected_test_avg_turnover,current_fixed_val_cumulative_return,current_fixed_val_sharpe,current_fixed_val_max_drawdown,current_fixed_val_avg_turnover,current_fixed_test_cumulative_return,current_fixed_test_sharpe,current_fixed_test_max_drawdown,current_fixed_test_avg_turnover
11,False,2010-03-31,2020-04-02,2020-04-03,2020-10-01,2020-10-02,2021-04-05,24601,1260,1260,24311,1260,1260,1,0.5951102313835233,1,8.433857557834404,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.5951102313835233,0.6806411837237978,0.4782801825812579,0.5554054054054054,0.4597552237634386,3.6673107471543096,-0.015626402262721606,0.9230769230769231,0.027240753287126385,0.3361074492817919,-0.09226392216599621,0.9615384615384616,0.4318612122199297,3.3146553738301083,-0.025543198858720917,0.9166666666666666,-0.011048205009599577,0.00897174339011312,-0.09226392216599621,0.9807692307692307
12,False,2010-03-31,2020-10-01,2020-10-02,2021-04-05,2021-04-06,2021-10-01,25861,1260,1260,25571,1260,1260,8,0.5501894229492795,4,8.783049007437203,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.5342441973266346,0.6858383071079761,0.45137663412254736,0.601010101010101,0.4930180572604619,3.8794612708717455,-0.030002753902784063,1.1025641025641024,0.10009721632156032,1.598256840164482,-0.035887129005708895,0.6538461538461539,0.44471437744881603,3.4115350803034747,-0.029426037331524824,1.1282051282051282,0.10009721632156032,1.598256840164482,-0.035887129005708895,0.6538461538461539
13,False,2010-03-31,2021-04-05,2021-04-06,2021-10-01,2021-10-04,2022-04-01,27121,1260,1260,26831,1260,1260,2,0.48545091439355825,6,4.53383409703131,topk,4,0.56,0.5,True,topk,4,0.56,0.5,True,0.4813047952989368,0.6984978540772532,0.512429435483871,0.5924504158669225,0.12226172366898669,2.1304452348895073,-0.0329834303005857,1.0064102564102564,-0.06890981306877364,-0.45079629565052215,-0.25671867276746907,0.8269230769230769,0.12226172366898669,2.1304452348895073,-0.0329834303005857,1.0064102564102564,-0.06890981306877364,-0.45079629565052215,-0.25671867276746907,0.8269230769230769
14,False,2010-03-31,2021-10-01,2021-10-04,2022-04-01,2022-04-04,2022-10-03,28381,1260,1260,28091,1260,1260,1,0.51484375,1,2.2628012063797094,topk,4,0.58,0.5,True,topk,4,0.56,0.5,False,0.51484375,0.6065573770491803,0.5222788220953358,0.5301204819277109,0.07904781963390017,1.002623216248262,-0.06071940698260858,0.9230769230769231,0.07668514753583655,2.2783354701449836,-0.001000000000000112,0.3076923076923077,-0.0345484519996051,-0.22906514436436234,-0.1772866609489845,1.0576923076923077,-0.23295537625461615,-1.6692487972341126,-0.2591577373615441,0.7115384615384616
15,False,2010-03-31,2022-04-01,2022-04-04,2022-10-03,2022-10-04,2023-04-04,29641,1260,1260,29351,1260,1260,13,0.604983640212998,10,3.6491061832947147,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.5993019824212484,0.5934907466496491,0.5219140573587515,0.5129819040125885,0.07342238707225568,1.5034027902875544,-0.01588186456519214,0.23076923076923078,0.0,0.0,0.0,0.0,0.049608023661386946,0.6900495367447987,-0.10039259919873156,0.75,0.1780003164249937,1.4892065202458546,-0.0009999999999998899,0.15384615384615385
16,False,2010-03-31,2022-10-03,2022-10-04,2023-04-04,2023-04-05,2023-10-04,30901,1260,1260,30611,1260,1260,8,0.5212017827510832,2,4.370428607916219,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.49149141528448403,0.41986062717770034,0.5045585831902887,0.24262295081967214,0.07856934877588984,1.8868607860015163,-0.001000000000000112,0.11538461538461539,-0.06530834444065658,-1.1088271390499314,-0.08863638093173254,0.19230769230769232,-0.07287239136924173,-0.9442901047922855,-0.10073637611143704,0.39743589743589747,-0.07043791502150298,-1.2273201812668437,-0.08896468494308962,0.20512820512820515
17,False,2010-03-31,2023-04-04,2023-04-05,2023-10-04,2023-10-05,2024-04-05,32161,1260,1260,31871,1260,1260,1,0.5181572428537656,1,4.3811279089756825,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.5181572428537656,0.5331302361005332,0.4557543788462839,0.4006568144499179,0.058125515420472285,1.8993213561020248,-0.0010000000000000009,0.11538461538461539,0.06669790529580877,1.3988604077186313,-0.02207595927337591,0.3076923076923077,0.06479141535247979,1.020520561398302,-0.035860432477418436,0.4423076923076923,0.07984787833695117,1.8942543638284908,-0.016560524744162475,0.34615384615384615
18,False,2010-03-31,2023-10-04,2023-10-05,2024-04-05,2024-04-08,2024-10-04,33421,1260,1260,33131,1260,1260,7,0.5130966389396091,7,0.5130966389396091,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.5130966389396091,0.0,0.5217155820797907,0.15018773466833543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,False,2010-03-31,2024-04-05,2024-04-08,2024-10-04,2024-10-07,2025-04-08,34681,1260,1260,34391,1260,1260,8,0.4880385464355788,8,3.3480624598275446,topk,3,0.56,0.5,True,topk,4,0.56,0.5,False,0.4880385464355788,0.4074733096085409,0.48203735359290917,0.32941176470588235,0.07434272634969918,1.3729769226539759,-0.001000000000000112,0.07692307692307693,-0.07143438257072099,-1.7965205829857451,-0.07143438257072099,0.15384615384615385,0.07434272634969918,1.3729769226539759,-0.001000000000000112,0.07692307692307693,-0.07143438257072099,-1.7965205829857451,-0.07143438257072099,0.15384615384615385
20,False,2010-03-31,2024-10-04,2024-10-07,2025-04-08,2025-04-09,2025-10-08,35941,1260,1260,35651,1260,1260,5,0.5015106046217157,2,5.424771623844622,topk,3,0.58,0.5,True,topk,4,0.56,0.5,False,0.4986540044317822,0.5313653136531366,0.523550553423829,0.6065789473684211,0.13890673626379435,2.3616520734426256,-0.002434297399202978,0.16666666666666669,-0.20570302373431415,-0.8715842638934355,-0.27689294180715773,0.4102564102564103,-0.005371216176257798,0.0540542661144393,-0.14610818980973594,0.5128205128205129,0.040165386463354436,0.4078786918586867,-0.12010699429176597,0.5769230769230769
