date,fng_value,sentiment_score
2023-06-21,13.199999809265137,0.7866666793823243
2023-06-22,12.90999984741211,0.806000010172526
2023-06-23,13.4399995803833,0.7706666946411133
2023-06-26,14.25,0.7166666666666667
2023-06-27,13.739999771118164,0.7506666819254557
2023-06-28,13.430000305175781,0.7713333129882812
2023-06-29,13.539999961853027,0.7640000025431315
2023-06-30,13.59000015258789,0.7606666564941407
2023-07-03,13.569999694824219,0.7620000203450521
2023-07-05,14.180000305175781,0.7213333129882813
2023-07-06,15.4399995803833,0.63733336130778
2023-07-07,14.829999923706055,0.678000005086263
2023-07-10,15.069999694824219,0.662000020345052
2023-07-11,14.84000015258789,0.6773333231608073
2023-07-12,13.539999961853027,0.7640000025431315
2023-07-13,13.609999656677246,0.759333356221517
2023-07-14,13.34000015258789,0.7773333231608073
2023-07-17,13.479999542236328,0.7680000305175781
2023-07-18,13.300000190734863,0.7799999872843424
2023-07-19,13.760000228881836,0.7493333180745443
2023-07-20,13.989999771118164,0.7340000152587891
2023-07-21,13.600000381469727,0.759999974568685
2023-07-24,13.90999984741211,0.7393333435058593
2023-07-25,13.859999656677246,0.7426666895548503
2023-07-26,13.1899995803833,0.78733336130778
2023-07-27,14.40999984741211,0.7060000101725261
2023-07-28,13.329999923706055,0.778000005086263
2023-07-31,13.630000114440918,0.7579999923706054
2023-08-01,13.930000305175781,0.7379999796549479
2023-08-02,16.09000015258789,0.5939999898274739
2023-08-03,15.920000076293945,0.6053333282470703
2023-08-04,17.100000381469727,0.5266666412353516
2023-08-07,15.770000457763672,0.6153333028157553
2023-08-08,15.989999771118164,0.6006666819254558
2023-08-09,15.960000038146973,0.6026666641235352
2023-08-10,15.850000381469727,0.6099999745686848
2023-08-11,14.84000015258789,0.6773333231608073
2023-08-14,14.819999694824219,0.6786666870117187
2023-08-15,16.459999084472656,0.5693333943684895
2023-08-16,16.780000686645508,0.5479999542236328
2023-08-17,17.889999389648438,0.47400004069010415
2023-08-18,17.299999237060547,0.5133333841959635
2023-08-21,17.1299991607666,0.5246667226155599
2023-08-22,16.969999313354492,0.5353333791097006
2023-08-23,15.979999542236328,0.6013333638509115
2023-08-24,17.200000762939453,0.5199999491373698
2023-08-25,15.680000305175781,0.6213333129882812
2023-08-28,15.079999923706055,0.6613333384195963
2023-08-29,14.449999809265137,0.7033333460489909
2023-08-30,13.880000114440918,0.7413333257039387
2023-08-31,13.569999694824219,0.7620000203450521
2023-09-01,13.09000015258789,0.793999989827474
2023-09-05,14.010000228881836,0.7326666514078777
2023-09-06,14.449999809265137,0.7033333460489909
2023-09-07,14.399999618530273,0.7066666920979818
2023-09-08,13.84000015258789,0.743999989827474
2023-09-11,13.800000190734863,0.7466666539510092
2023-09-12,14.229999542236328,0.7180000305175781
2023-09-13,13.479999542236328,0.7680000305175781
2023-09-14,12.819999694824219,0.8120000203450521
2023-09-15,13.789999961853027,0.7473333358764649
2023-09-18,14.0,0.7333333333333334
2023-09-19,14.109999656677246,0.7260000228881835
2023-09-20,15.140000343322754,0.6573333104451498
