date,close,target_return,sentiment_score,dc_trend,dc_event,dc_drawdown,dc_T,dc_TMV,dc_R
2018-06-04,242.92662048339844,0.000727995000640469,0.8173333485921224,1.0,0.0,0.0,0.0,0.0,0.004751548581111571
2018-06-05,243.1034698486328,0.00836026597742201,0.8400000254313151,1.0,0.0,0.0,0.0,0.0,0.0007279950006403718
2018-06-06,245.1358795166016,-0.00010824622748839552,0.890666643778483,1.0,0.0,0.0,0.0,0.0,0.008360265977422076
2018-06-07,245.10934448242188,0.002956332143595697,0.8579999923706054,1.0,0.0,-0.00010824622748837084,1.0,-0.00010824622748837084,-0.00010824622748837084
2018-06-08,245.8339691162109,0.0013299008905423015,0.8546666463216146,1.0,0.0,0.0,0.0,0.0,0.002956332143595614
2018-06-11,246.1609039306641,0.0012925540345791742,0.8433333079020182,1.0,0.0,0.0,0.0,0.0,0.0013299008905422378
2018-06-12,246.4790802001953,-0.003190812401687504,0.8439999898274739,1.0,0.0,0.0,0.0,0.0,0.001292554034579114
2018-06-13,245.692611694336,0.0025176206429240455,0.8040000279744466,1.0,0.0,-0.0031908124016875286,1.0,-0.0031908124016875286,-0.0031908124016875286
2018-06-14,246.3111724853516,-0.0012754108798594954,0.8586666742960611,1.0,0.0,-0.0006812250139336106,2.0,-0.0006812250139336106,0.0025176206429241045
2018-06-15,245.9970245361328,-0.0020573562488381825,0.8680000305175781,1.0,0.0,-0.0019557670519987523,3.0,-0.0019557670519987523,-0.001275410879859545
2018-06-18,245.4909210205078,-0.0038324285562357785,0.8459999720255533,1.0,0.0,-0.0040090995912711825,4.0,-0.0040090995912711825,-0.0020573562488381313
2018-06-19,244.5500946044922,0.0017058889044530012,0.7766666412353516,1.0,0.0,-0.007826163559748616,5.0,-0.007826163559748616,-0.003832428556235814
2018-06-20,244.9672698974609,-0.0062689611892234876,0.8140000025431315,1.0,0.0,-0.006133625220876678,6.0,-0.006133625220876678,0.0017058889044529464
2018-06-21,243.4315795898437,0.0018237340797011559,0.6906666437784831,1.0,0.0,-0.01236413495164124,7.0,-0.01236413495164124,-0.006268961189223481
2018-06-22,243.8755340576172,-0.013613218903250623,0.7486666361490886,1.0,0.0,-0.010562949766217368,8.0,-0.010562949766217368,0.0018237340797012055
2018-06-25,240.5556030273437,0.0022141379552695906,0.5113333384195964,-1.0,1.0,0.0,0.0,0.0,-0.013613218903250618
2018-06-26,241.08822631835932,-0.008284262527786246,0.6053333282470703,-1.0,0.0,0.002214137955269669,1.0,0.002214137955269669,0.002214137955269669
2018-06-27,239.0909881591797,0.005717506983663911,0.4726666768391927,-1.0,0.0,0.0,0.0,0.0,-0.008284262527786232
2018-06-28,240.4579925537109,0.0014396533206673112,0.5433333079020182,-1.0,0.0,0.0057175069836639374,1.0,0.0057175069836639374,0.0057175069836639374
2018-06-29,240.80416870117188,0.002137714270434188,0.5939999898274739,-1.0,0.0,0.0071653915322463044,2.0,0.0071653915322463044,0.0014396533206673962
2018-07-02,241.3189392089844,-0.0035309974443377135,0.6266666412353515,-1.0,0.0,0.009318423362412188,3.0,0.009318423362412188,0.0021377142704341536
2018-07-03,240.4668426513672,0.008158010207982791,0.5906667073567708,-1.0,0.0,0.005754522588996524,4.0,0.005754522588996524,-0.00353099744433773
2018-07-05,242.42857360839844,0.008458314458786864,0.6686666488647461,-1.0,0.0,0.013959478251002437,5.0,0.013959478251002437,0.008158010207982812
2018-07-06,244.47911071777344,0.00900407890735,0.7753333409627279,1.0,1.0,0.0,0.0,0.0,0.008458314458786897
2018-07-09,246.680419921875,0.003598749706800186,0.8206666946411133,1.0,0.0,0.0,0.0,0.0,0.009004078907349892
2018-07-10,247.5681610107422,-0.007315175874305191,0.8239999771118164,1.0,0.0,0.0,0.0,0.0,0.003598749706800158
2018-07-11,245.7571563720703,0.009066157637110495,0.7579999923706054,1.0,0.0,-0.007315175874305154,1.0,-0.007315175874305154,-0.007315175874305154
2018-07-12,247.9852294921875,0.0007877819044594947,0.828000005086263,1.0,0.0,0.0,0.0,0.0,0.00906615763711043
2018-07-13,248.1805877685547,-0.000894325973271104,0.8546666463216146,1.0,0.0,0.0,0.0,0.0,0.0007877819044595236
2018-07-16,247.9586334228516,0.004044992137643311,0.8113333384195963,1.0,0.0,-0.0008943259732710607,1.0,-0.0008943259732710607,-0.0008943259732710607
2018-07-17,248.9616241455078,0.0021040762017581205,0.86266663869222,1.0,0.0,0.0,0.0,0.0,0.004044992137643339
2018-07-18,249.48545837402344,-0.003771678758509256,0.8599999745686849,1.0,0.0,0.0,0.0,0.0,0.002104076201758169
2018-07-19,248.5444793701172,-0.001142516080714251,0.8086666742960612,1.0,0.0,-0.0037716787585092585,1.0,-0.0037716787585092585,-0.0037716787585092585
2018-07-20,248.2605133056641,0.0018591271137597953,0.8093333562215169,1.0,0.0,-0.004909885635590569,2.0,-0.004909885635590569,-0.0011425160807141958
2018-07-23,248.72206115722656,0.005032070368986341,0.8253333409627279,1.0,0.0,-0.0030598866233414123,3.0,-0.0030598866233414123,0.001859127113759743
2018-07-24,249.97364807128903,0.008522748949428616,0.8393333435058594,1.0,0.0,0.0,0.0,0.0,0.005032070368986273
2018-07-25,252.10411071777344,-0.002359233005656991,0.8473333358764649,1.0,0.0,0.0,0.0,0.0,0.00852274894942856
2018-07-26,251.50933837890625,-0.0067764101934391086,0.8573333104451497,1.0,0.0,-0.0023592330056570387,1.0,-0.0023592330056570387,-0.0023592330056570387
2018-07-27,249.8050079345703,-0.005223617713058792,0.7980000178019205,1.0,0.0,-0.00911965606850788,2.0,-0.00911965606850788,-0.006776410193439074
2018-07-30,248.5001220703125,0.004929538201111638,0.715999984741211,1.0,0.0,-0.014295636184590206,3.0,-0.014295636184590206,-0.005223617713058788
2018-07-31,249.72511291503903,-0.0016707213161931689,0.8113333384195963,1.0,0.0,-0.009436568868159606,4.0,-0.009436568868159606,0.004929538201111732
2018-08-01,249.30789184570312,0.005447759979072986,0.7900000254313151,1.0,0.0,-0.011091524307593045,5.0,-0.011091524307593045,-0.0016707213161931984
2018-08-02,250.6660614013672,0.004284666140033977,0.8540000279744466,1.0,0.0,-0.005704188290749941,6.0,-0.005704188290749941,0.005447759979072924
2018-08-03,251.74008178710932,0.003667223945053477,0.890666643778483,1.0,0.0,-0.00144396269314166,7.0,-0.00144396269314166,0.004284666140034036
