model,epoch,lr,train_loss,val_loss,val_f1,val_auc,fold_idx,setting
transformer,3,0.0003,0.6290069408373001,0.7492131297404949,0.6893017296604741,0.5304272414611005,4,no_fundamentals
transformer,4,0.0003,0.6261054509276643,0.7605549060381376,0.6890322580645162,0.5347893441650854,4,no_fundamentals
transformer,5,0.0003,0.6234235188282958,0.7666318398255568,0.6864899806076277,0.5370241342504745,4,no_fundamentals
transformer,6,0.0003,0.6160988070549221,0.7653578042984008,0.6869734283862605,0.5401002134724857,4,no_fundamentals
transformer,7,0.0003,0.6104349097527495,0.773754985515888,0.6887589343729694,0.5400038543643264,4,no_fundamentals
transformer,8,0.0003,0.614079841998739,0.777155667084914,0.6887589343729694,0.541860620256167,4,no_fundamentals
transformer,9,0.0003,0.6084262064837535,0.76788641672868,0.6827632461435278,0.5450960626185959,4,no_fundamentals
transformer,10,0.0003,0.606704614906136,0.7848108172416687,0.6855263157894737,0.5438137452561671,4,no_fundamentals
transformer,11,0.0003,0.604381600213707,0.7855844791118916,0.6847682119205298,0.5466303961100569,4,no_fundamentals
transformer,12,0.0003,0.6052045604504577,0.7813266864189735,0.683477106834771,0.5502957483396584,4,no_fundamentals
transformer,1,0.0003,0.6928161196034364,0.7629584220739511,0.6770025839793282,0.4541132615212453,5,no_fundamentals
transformer,2,0.0003,0.6608518737735171,0.7507476137234614,0.6765847347994826,0.4882258560571532,5,no_fundamentals
transformer,3,0.0003,0.6488857512522226,0.749068964444674,0.6805465191932336,0.5064086174505598,5,no_fundamentals
transformer,4,0.0003,0.6396788138331789,0.7464734297532302,0.6867233485938522,0.5240614960481118,5,no_fundamentals
transformer,5,0.0003,0.6304174623104057,0.7448461826031024,0.6768211920529801,0.5352409113984088,5,no_fundamentals
transformer,6,0.0003,0.6277986478323888,0.7435522629664495,0.6702702702702703,0.5375901819758329,5,no_fundamentals
transformer,7,0.0003,0.6127301949443239,0.7480931153664222,0.6766507828454731,0.542033045417996,5,no_fundamentals
