top_k,entry_prob,exit_prob,switch_buffer,min_hold_periods,max_new_names_per_rebalance,max_turnover_per_rebalance,no_trade_band,sector_penalty,repeated_name_penalty,cooldown_lookback,cooldown_threshold,strong_signal_override_margin,val_ok,selection_score,val_mean_cumret,val_mean_sharpe,val_mean_mdd,val_mean_turnover,val_mean_max_sector_weight,val_mean_distinct_sectors,val_mean_nvda_presence,test_mean_cumret,test_mean_sharpe,test_mean_mdd,test_mean_turnover,test_mean_max_sector_weight,test_mean_nvda_presence
3,0.58,0.5599999999999999,0.0,2,1,1.0,0.01,0.02,0.01,3,2,0.02,False,1.2025674446840855,0.2643337596403149,0.5972596821275098,-0.29687110823051205,0.6336633663366336,0.5066006600660066,2.405940594059406,0.019801980198019802,0.19385019781624158,0.4843778739557556,-0.18923029889035736,0.728613569321534,0.5442477876106194,0.26548672566371684
3,0.58,0.5599999999999999,0.0,2,1,1.0,0.01,0.02,0.01,3,2,0.04,False,1.2025674446840855,0.2643337596403149,0.5972596821275098,-0.29687110823051205,0.6336633663366336,0.5066006600660066,2.405940594059406,0.019801980198019802,0.19385019781624158,0.4843778739557556,-0.18923029889035736,0.728613569321534,0.5442477876106194,0.26548672566371684
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.0,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.0,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.005,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.005,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.01,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.0,0.01,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.0,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.0,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.005,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.005,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.01,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.01,0.01,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.0,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.0,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.005,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.005,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.01,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.0,0.02,0.01,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.01,0.0,0.0,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.01,0.0,0.0,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.01,0.0,0.005,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.01,0.0,0.005,3,2,0.04,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.58,0.5599999999999999,0.0,2,2,0.75,0.01,0.0,0.01,3,2,0.02,False,-1.0189694465167962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
